Nb de leçons divergentes entre l'édition et témoin :1664
Nb de leçons en commun avec C2 :51
Nb de lieux variants en commun avec C2 :83
Nb de leçons en commun avec C3 :58
Nb de lieux variants en commun avec C3 :81
Nb de leçons en commun avec D :119
Nb de lieux variants en commun avec D :185
Nb de leçons en commun avec E2 :145
Nb de lieux variants en commun avec E2 :241
Nb de leçons en commun avec F2 :205
Nb de lieux variants en commun avec F2 :371
Nb de leçons en commun avec G1 :581
Nb de lieux variants en commun avec G1 :933
Nb de leçons en commun avec M1 :1664
Nb de lieux variants en commun avec M1 :1663

Nb de leçons en commun avec N :1061
Nb de lieux variants en commun avec N :1293

ajout
220
Pourcentage : 13.221153846153847
Nb de leçons en commun avec C2 :1
Nb de lieux variants en commun avec C2 :4

Nb de leçons en commun avec C3 :3
Nb de lieux variants en commun avec C3 :8

Nb de leçons en commun avec D :6
Nb de lieux variants en commun avec D :17

Nb de leçons en commun avec E2 :7
Nb de lieux variants en commun avec E2 :22

Nb de leçons en commun avec F2 :9
Nb de lieux variants en commun avec F2 :32

Nb de leçons en commun avec M1 :220
Nb de lieux variants en commun avec M1 :220

Nb de leçons en commun avec N :114
Nb de lieux variants en commun avec N :172

Lemme 	leçon
nule chose	nule verité (M1)	1
n'ert	n'en savoit (M1)	1
certeins	seurement (M1 N1)	1
jouste	delés (M1 N1)	1
lez et hisdeus et cruel	lait et noir et cruel (M1)	1
conmanda	demanda a chelui (M1)	1
celui parler	bien chou que cil disoit (M1)	1
cele fole	fole (M1 N1)	1
cele malvese	malvaise (M1 N1)	1
aloit	s'en aloit (M1 N1)	1
portoit	enportoit pour (M1)	1
s'arresta	aresta (M1)	1
se fu arrestez	ot alé (M1 N1)	1
estoit	pooit estre (M1 N1)	1
aperçut	perchut (M1 N1)	1
costume	acoustumanche (M1 N1)	1
comportoient	portoient (G1 M1 N1)	1
aussint com	et furent (M1 N1)	1
conmença li uns l'autre a esgarderregardera regarder	conmencherent a esgarder li uns l'autre (M1)	1
Ensement	Ainsi (M1 N1)	1
a trenchier	a couper (M1)	1
q'il nel trenchast nenane n'  abatistabatist du tout	a couper et a abatre (M1)	1
par la volenté de Deu le temple aidiéaidié le temple a destruiredepecier	souffert par le volenté de Dieu le temple a despechier (M1 N1)	1
li desfendoient a trenchierapreschier	li deffendoient a couper (M1)	1
lui	a lui (M1)	1
covenoit	voloit (M1 N1)	1
trenchiera trenchier et abatrea abatre	abatre et couper (M1)	1
desde plus hardiz	qui plus hardis estoit (M1 N1)	1
recevoir	recuellir (M1)	1
vendra trebuchant	venrra trebuschant de grant ravine (M1 N1)	1
diz et contes	contes et dis (M1)	1
tel	cel (F2 M1 N1)	1
lor arbre a trenchiercouper mout liement. et a grant joie por abatre	par grant amor et par grant joie leur arbre a couper por abatre (M1)	1
comencierent	prisent (M1 N1)	1
escroller	crouller (D M1 N1)	1
doutance	doute (G1 M1 N1)	1
estoit granz et pesanz	molt pesoit (M1 N1)	1
et de nule rien n'ert sostenue	ne n'iert de nule part soustenus (M1 N1)	1
tant pesoit	qui de si grant pesantume estoit (M1)	1
retorna	torna (E2 M1)	1
estoient	s'estoient (D M1)	1
se tornerent	s'atornerent (G1 M1 N1)	1
creance	esror (M1 N1)	1
Et en celeles leulieus ou	Et la ou (G1 M1 N1)	1
un leu	une voie (G1 M1 N1)	1
desmesuree	a desmesure (M1)	1
a demener	a mener (M1 N1)	1
procheinemolt prochaine del temple	molt pres del temple (M1)	1
esprise	arse (M1 N1)	1
errant	errament (C2 D E2 G1 M1 N1)	1
garantie	garie et salvee (E2 M1)	1
celtel temple depecier par sa force	cel temple a forche pechoier (M1 N1)	1
ne	et (M1)	1
devine	digne (M1)	1
meinz	poins (M1)	1
chevaus	destriers (M1 N1)	1
richement coverz de molt beles covertures	de molt bele faiture (M1 N1)	1
l'aemplist	l'empreist (M1 N1)	1
si debrisale debrisa et destruist	si l'abati et debrisa (M1 N1)	1
tuit li paien	li assamblee des paiens (M1 N1)	1
euz	eles (M1)	1
conterai	raconterai (M1)	1
aprés d'un autre miracle	un autre miracle aprés (M1)	1
en us et en costume	a us et a coustume (M1 N1)	1
mout de vileinz	une grant torbe de vilains (G1 M1 N1)	1
se fist hardi	hardi estoit (M1 N1)	1
encontre	arriere (G1 M1 N1)	1
mes ilpuis abandona	et si leur abandonna (M1)	1
coup	espee (M1 N1)	1
q'a poi	si durement qu'a poi (M1 N1)	1
Cis	Li (M1 N1)	1
a depecier	a combrisier (M1 N1)	1
a destruire	a confondre (M1 N1)	1
por lui ferir d'un coutrecoutel et ocirre	atout un coltre pour lui ferir et ochirre (M1 N1)	1
tuer le seint home	pour lui ferir (G1 M1)	1
Deu	nostre Seigneur (M1)	1
destruire et depecier	despechier et confondre (M1)	1
tieus poissance	si puissanz (G1 M1)	1
estoit en lui	avoit il (M1 N1)	1
et curer	par le volenté de nostre Seigneur (M1 N1)	1
tuit cil qui a lui venoient i recevoient santé	nus malades ne venoit a lui qu'il n'eüst molt tost se santé
                recovree (M1 N1)	1
avoit en la contree	estoit (G1 M1 N1)	1
palezins avoit	del enfermeté de palasin iert (M1 N1)	1
enfermeté	maladie (M1 N1)	1
proisme	ami (M1 N1)	1
gardoient	atendoient (F2 M1 N1)	1
en tel point	en tele maniere (M1 N1)	1
moltmolt de sovent	et avoit faites (M1 N1)	1
entor	ja entor (M1)	1
venoient	se tenoient (M1 N1)	1
aavec lui venoients'assembloientse tenoient	se tenoient avec lui (M1)	1
sa	la (C2 M1 N1)	1
conmença	dist (M1 N1)	1
par dolereus martyre muert et perist en langor	muert par dolereuse maniere de langueur (M1 N1)	1
ait eleil	retiegne ele (M1 N1)	1
si	et que tu (M1 N1)	1
Au daerrenier	En le fin (M1 N1)	1
damoisele	pucele (M1)	1
conmanda	rouva (M1 N1)	1
de s'enfermeté et curee	et sanee de s'enfermeté (G1 M1)	1
la	i (M1)	1
conceles	provos (M1 N1)	1
avoit non	estoit apelez (M1 N1)	1
molt dolereusement	de molt dolereuse painne (M1 N1)	1
cil qi i alerent	onques (M1)	1
li conceles	li prevos (M1 N1)	1
seint Martin	saint home (G1 M1 N1)	1
et 	et que (M1)	1
encovença	ot en couvent (G1 M1 N1)	1
le serjant	le vallet (M1 N1)	1
Aprés ce non mie grantlonc termetans trespassépassé	N'ot mie aprés che grant termine (M1)	1
vint li seinz hom	quant le sains hom vint (M1 N1)	1
entrez elou cors	avoit pris et saisi (G1 M1)	1
meson	mesnie (D E2 G1 M1 N1)	1
se tenist	fust (G1 M1 N1)	1
qe se ce fust	qu'il feïst (G1 M1)	1
la dedenz	laienz (G1 M1 N1)	1
et ne qe dent	toutevoies (M1 N1)	1
cremeur	cremance (M1 N1)	1
del cors	hors (M1)	1
derriers	dessous (M1 N1)	1
de ce fu il mout dolenz	ce fist il molt dolanz (G1 M1 N1)	1
choses	oevres et ches coses (M1 N1)	1
molt esmaie et torbleemolt troublee	molt torblee et esbahiee (M1)	1
conmanda	demanda (M1 N1)	1
regehi	gehi (C3 M1)	1
s'en	se (M1 N1)	1
creance	errance (G1 M1 N1)	1
de l'enemi	del deable (G1 M1 N1)	1
Un	En (M1)	1
affermez en la seinte creance	en ferme creance (M1)	1
pres que tote et 	et pres que tout (G1 M1)	1
adés	tous jors (M1)	1
en sa conpaignie	avec lui (G1 M1 N1)	1
q'il avoit receüerecouvree	chou qu'il avoit santé recheüe (M1 N1)	1
la vie	de la vie (M1 N1)	1
avoit non	estoit apelés par non (M1 N1)	1
Si	Cil (G1 M1 N1)	1
coment	pour quel maniere (G1 M1 N1)	1
dire	a dire (G1 M1)	1
la poitrine	le piz (G1 M1 N1)	1
qi la destreignoit	fors de son cors et ensus de li cachie (M1 N1)	1
si	molt (F2 G1 M1)	1
sa fille	la damoisele (G1 M1 N1)	1
au a un home son
                oel seint home	a li (G1 M1 N1)	1
la doleur	l'ardour (M1)	1
l'avoit grevé	li estoit aggrevee (M1)	1
rien	goute (G1 M1 N1)	1
toucha	atoucha (E2 D F2 G1 M1)	1
son oel	a son oel (D E2 M1 N1)	1
lonc tens avoit portee	avoit lonc tans eüe (G1 M1 N1)	1
mout	tous (M1 N1)	1
del chaïement	de le keeüre (M1)	1
d'aler contantrecontant	de raconter (F2 M1)	1
et de dire	ne de dire (M1)	1
raconter	conter (M1 N1)	1
Il avint	La nuit (M1)	1
puis	pour ce (G1 M1 N1)	1
blandissoient	blasmoient (M1 N1)	1
n'orent poor de princes	n'orent ainc paor de prinches (M1)	1
meintes foiz	par maintes foies (M1)	1
et 	mes (F2 G1 M1 N1)	1
table	sa table (E2 G1 M1)	1
del empire	ne l'empire (G1 M1 N1)	1
la besoigne	l'essoine (M1)	1
la volenté	l'aïe (M1)	1
si grant joie l'en crut	et a grant joie (M1)	1
homes	contes (M1 N1)	1
longuement	grant piece (G1 M1 N1)	1
premier	primerain (C2 C3 D E2 F2 M1 N1)	1
pluiseurs	ne sai qans (G1 M1 N1)	1
serjanz	vallés (M1)	1
q'	com (C2 C3 D E2 M1 N1)	1
beü	le coupe recheüe (M1 N1)	1
bailla la coupe	le bailla (G1 M1 N1)	1
venuz ertvenus fuestoit venuz en sa compaignie	et qui avec lui estoit venus en compaignie (M1)	1
de haute lignie et acompliz de grant richescede haute seignorie et riches	de haute seignorie et de noble lignie et acomblés de grant
                richoise (M1 N1)	1
Averont	auront (C2 C3 D E2 F2 M1 N1)	1
Tel signorie et tel hautesce	si grant bien et si grant hautesche (M1)	1
sauroit	porroit (M1 N1)	1
Ja tant ne s'en entremetroit (#C2)	Chertes bon porçachier feroit (M1 N1)	1
Riches, povres	Riche et povre (M1)	1
la venir ne pense	parvenir n'i pense (M1 N1)	1
certes	entrés (M1 N1)	1
doit nestre	sieut venir (M1)	1
environavec lui estoient	al mengier seoient (M1)	1
premiere	premerainne (M1)	1
trespassa	passa (F2 G1 M1 N1)	1
meintes choses	molt de choses (E2 M1 N1)	1
plenierement	apertement (M1 N1)	1
ne s'i seüst atapir	si ne s'i seüst quatir (M1)	1
boidissant	bruiant (G1 M1 N1)	1
reconta	conta (E2 G1 M1)	1
Il	Chil (M1 N1)	1
revindrent	si vindrent (M1)	1
defailloit	failloit (C2 D M1 N1)	1
noncierent	conterent (M1 N1)	1
li seinz hom	saint Martin (G1 M1 N1)	1
une partie d'els alera aler encontre	qu'une des parties d'els alast encontre (G1 M1)	1
li auqant	li plusour (M1 N1)	1
por aler encontre celui	a aler encontre (M1)	1
pas mout loing alé	mie granment aleé (G1 M1)	1
q'a pou	que pres (M1)	1
desjoins del joulimon	de son judicion (M1)	1
li jous	li vis (M1)	1
la	sa (G1 M1)	1
einsi parlé	ce dit et ces paroles racontees (M1)	1
s'entremetoit	se melloit (M1 N1)	1
il	li deales (M1 N1)	1
males	mauvaises (G1 M1 N1)	1
se	s'en (G1 M1 N1)	1
ne ne trestornoit	ne ne mostroit nul samlant (M1 N1)	1
estoient	estoient par lui (M1 N1)	1
recomençoit	conmençoit (G1 M1 N1)	1
deça en arriere	d'arriere (M1 N1)	1
receü	cheü (M1 N1)	1
tieus	ces (M1 N1)	1
qe tu t'en repentisses	et tu te repentoies (M1 N1)	1
pardon	merci (G1 M1 N1)	1
seinz hom	prodom (M1 N1)	1
sa paroleproiere digne	dignes en se parole (M1)	1
novelement	n'avoit mie lonc tans (M1)	1
lessa quanq'il avoitavoit il	deguerpi toutes ses choses terrienes (G1 M1 N1)	1
pleinement	du tout (G1 M1 N1)	1
Li jovenceaus	Clarus li prestres (M1 N1)	1
la	ilec (G1 M1 N1)	1
par ce il	par ce qu'il (C2 C3 E2 F2 G1 M1 N1)	1
de bone loy et de seinte vie	de bone loy et de bone creance (M1)	1
creance	bone vie (M1)	1
seinz hom	prodons (M1 N1)	1
ne pot onques estre menez a ce	ne peüt onques a ce estre menés (M1 N1)	1
icez	itex (M1 N1)	1
et tramise	et deschendue (M1 N1)	1
la celle	li lieus (M1 N1)	1
meintes	plusieurs (G1 M1 N1)	1
c'on i veoit	qi veües i estoient (M1)	1
s'abitation	sen habitacle (D M1 N1)	1
molt blanche	de grant blanchor (G1 M1)	1
si c'on	si com (C2 M1 N1)	1
ne qe dent	toutes heures (M1 N1)	1
si come	la ou (G1 M1 N1)	1
n'osoit	n'osoit mie (G1 M1 N1)	1
q'il ne se pooit envers lui
                    covrir por pooir qu'il eüst	qe encontre lui ne se pooit il couvrir de nule cose (M1 N1)	1
engignier	sousduire (M1)	1
recomencierent	conmencierent (E2 G1 M1 N1)	1
entremis	meslez (G1 M1 N1)	1
venuz	avenus (M1 N1)	1
par lor folies	par le païs (M1 N1)	1
aproce	aproisme (M1)	1
sa celle	en son habitacle (M1)	1
premiers	premereins (C2 C3 D E2 F2 M1 N1)	1
a cez	a toutes les (G1 M1 N1)	1
la celle	li habitacles (M1)	1
meintes	pluseurs (G1 M1 N1)	1
il estoit	c'estoit (G1 M1 N1)	1
son seint mengier	se table (M1 N1)	1
ja (#C3)	ije (C1 C2 D E2 G1 M1 N1)	1
regehir	gehir (M1)	1
conter	raconter (M1)	1
n'osions	nos n'osiesmes (M1)	1
ester de	refuser a (M1)	1
chose	çou (G1 M1 N1)	1
siecle	monde (G1 M1 N1)	1
pluiseurs	maintes (G1 M1 N1)	1
noient	rien (M1)	1
costume	acostumé (E2 G1 M1)	1
firent il	si firent (M1 N1)	1
de fuere	d'estrain (M1 N1)	1
apris n'acostumé	a us n'a coustume (M1 N1)	1
q'il	qant il (M1)	1
le fuerre	l'estrain (M1 N1)	1
esprist el fuerre	prist en l'estrain (G1 M1 N1)	1
guetoit	gardoit (G1 M1)	1
l'agaitoit et destraignoit	le gaitoit et destraignoit  (M1 N1)	1
qi estoit clos et serrez	dont li huis estoit serrés et clos (M1)	1
signum crucis	le signe de le sainte crois (M1 N1)	1
Tantost	Et maintenant (M1 N1)	1
grever	grevanche (M1 N1)	1
defors	dehors (D E2 F2 G1 M1 N1)	1
Dex	nostre Sire (G1 M1 N1)	1
en plorant	tout en plourant (M1 N1)	1
croiz	sainte crois (M1)	1
mie	nient (M1 N1)	1
quique c'onqes	que qui onques (G1 M1 N1)	1
ne	nul (M1)	1
ceste	toute (G1 M1)	1
deci	d'ore (M1)	1
lonc tens	longuement (E2 G1 M1 N1)	1
neqe dent	toutes voies (G1 M1 N1)	1
l'assomement	assomemens (M1 N1)	1
q'il issist de ceste vie	qu'il de cheste vie trespassast (M1)	1
aloient	s'en aloient (G1 M1 N1)	1
qi	li diales (M1 N1)	1
guetent	agaite adés (M1 N1)	1
noient. ne sont	ne sont pas (M1)	1
ne	et qui (M1 N1)	1
desertesdiverses regions	desers lius (M1)	1
repoez	poez (G1 M1 N1)	1
aussi	tout aussi (M1)	1
par	partout (M1 N1)	1
autel	autretel (M1 N1)	1
ensamble	en une torbe (M1 N1)	1
el	au (F2 G1 M1 N1)	1
meintenant	tantost (G1 M1 N1)	1
hastivement	ja (M1)	1
tens	jors (M1 N1)	1
besoignables	necessaires (M1)	1
aler	l'aler (M1)	1
ceus	de ciaus (M1 N1)	1
voloit	se vouloit (M1 N1)	1
desevrez	descreüs (M1)	1
aussint	doltans (M1 N1)	1
doutoit	redoutoit (M1 N1)	1
un pou de vil fuerre desoz lui metremetre en son lit	dessous lui metre un peu de vil estrain (M1 N1)	1
ne ne presçoie	ne degerpissoie (M1)	1
torner	retorner (M1 N1)	1
pou	petit (M1 N1)	1
fil	frere (G1 M1 N1)	1
Quant	Et quant (G1 M1)	1
resgarda	esgarda (M1)	1
dejoste	encosté (M1)	1
aperceü	percheü (M1 N1)	1
cruel	crueuse (G1 M1 N1)	1
hastivement	sans demoranche (M1 N1)	1
del cors	hors del cors (M1)	1
lumiere	lumiere terrienne (M1 N1)	1
mostroit	demostroit (C2 C3 D G1 M1)	1
surrection	resurrection (D E2 M1)	1
tresq'au	dusc'au (M1 N1)	1
les voiz del ciel	le vois del ciel et les angeles (M1 N1)	1
retraite	conté (M1)	1
tençon	tence (M1 N1)	1
ces	tiex (G1 M1 N1)	1
requerons nos et volons avoir	requerons nous et le volons avoir (M1)	1
pueent	doivent (G1 M1 N1)	1
Mes	Car (M1 N1)	1
cez choses qi sont petites	les coses ester qi sont petites (M1)	1
qe ce	puis (M1 N1)	1
l'eure de mienuit vint	la nuit fu venue (G1 M1 N1)	1
aval	contreval (E2 G1 M1 N1)	1
repeirierent en lor contrees	s'en repairierent en leurs contrees (M1)	1
a grant joie	a grant ijoie et a grant leeche (M1 N1)	1
a grant joie	a grant ijoie et a grant leeche (M1 N1)	1
a grant joie	a grant ijoie et a grant leeche (M1 N1)	1
de paine et de doleur	dolours et paines (M1)	1
nombre	conte (M1 N1)	1
trestot	tot (C3 M1 N1)	1
assegure	raseüre (M1)	1
Sevrins	Severius (C3 M1 N1)	1
El	Del (M1)	1
adonqes	d'adont (M1)	1
seint Martin	a saint Martin (M1 N1)	1
grant partie ensamble o lui	avec lui grant partie (G1 M1)	1
droit	tout droit (M1 N1)	1
deviés	deviés saint Martin (M1)	1
chanter	chantantes (C3 F2 G1 M1 N1)	1
grant joie et de grant esleecement	de grant joie et de grant leeche (M1)	1
entendoit	n'entendoit (C3 D E2 G1 M1)	1
creature	cose (M1 N1)	1
qi chantoient	qu'il cantoient (M1 N1)	1
Li arcediacres	il li (M1)	1
somes	si somes (M1)	1
si tres granz	granz (G1 M1 N1)	1
prendre	emporter (M1)	1
disoit	lisoit (G1 M1 N1)	1
la leçon	espitre (M1 N1)	1
et 	car (M1 N1)	1
preudom: et seinz hom	cil sains hom preudons (M1)	1
ensamble o les angeles	avec les angeles (F2 M1)	1
la mere nostre Signor Jesu Crist	la haute Dame me Dame sainte Marie (M1)	1
ensamble o la conpagnie des seintes virges	avec la compaignie des virgenes (F2 M1)	1
qi de tote chose est sires et crieres	qi Sires est de toute creature (G1 M1 N1)	1
qi de tote chose est sires et crieres	qi Sires est de toute creature (G1 M1 N1)	1

