Nb de leçons divergente entre l'édition et témoin :1999
Nb de leçons en commun avec G1 :548
Nb de lieux variants en commun avec G1 :961
Nb de leçons en commun avec M1 :1021
Nb de lieux variants en commun avec M1 :1263

ajout
155
Pourcentage : 7.753876938469234
Nb de leçons en commun avec G1 :35
Nb de lieux variants en commun avec G1 :93

Nb de leçons en commun avec M1 :60
Nb de lieux variants en commun avec M1 :109

Lemme 	leçon
boidissant	bruiant (G1 M1 N)	1
ensanglenté	ainssi ensanglenté (M1 N)	1
reconta	aconta (N)	1
Et puis	Et puis si (M1 N)	1
nul	aucun (N)	1
venue	avenue (N)	1
Il	Chil (M1 N)	1
nus	nus moines (G1 M1 N)	1
defailloit	failloit (C2 M1 N)	1
noncierent	conterent (M1 N)	1
une partie d'els aler encontre	que li une partie d'aux l'alast querre (N)	1
li auqant	li plusour (M1 N)	1
il	mais (N)	1
pas mout loing alé	mie alé granment (N)	1
q'a pou	que pour un peu (N)	1
pres de morir	pres de la mort (N)	1
desjoins del jou	de son liu iscus (N)	1
einsi parlé	cou dit et tex paroles racontees (N)	1
devant	dit et (N)	1
devant ce qe	ainz que (G1 N)	1
devant ce	ançois (N)	1
meüssent	alascent (N)	1
celui qerre	querre celui (N)	1
s'entremetoit	se melloit (M1 N)	1
se tresmuoit il et aparoit	se mostroit il et aparoit (M1 N)	1
Minerve	Mihve (N)	1
q'il	si qu'il (N)	1
il	li deales (M1 N)	1
disoit erent males	li disoit a haute vois estoient malvaises (M1 N)	1
se movoit il mie dedenz son cuer ne ne trestornoit	s'en esmovoit li dedant son cuer ne ne mostroit nul samblant (N)	1
pluisors	par maintes (N)	1
estoient	estoient par lui (M1 N)	1
reconvertiz	converti (N)	1
recomençoit	conmençoit (G1 M1 N)	1
malveses	males (G1 M1 N)	1
deça en arriere	d'arriere (M1 N)	1
purgier	espurgier (G1 N)	1
devoit	les doit (N)	1
dont	u (N)	1
erent	orent (N)	1
devant issu	devant esté (N)	1
tieus	ces (M1 N)	1
males	mauvaises (N)	1
qe tu t'en repentisses	et tu te repentoies (M1 N)	1
par lui pardon	par lui merchi (N)	1
seinz hom	prodom (M1 N)	1
poez	poés vous (N)	1
ne	et sans (N)	1
apelez	apelez par non (G1 M1 N)	1
receü	ja recheüe (N)	1
novelement	n'avoit gaires lonc tans (N)	1
lessa quanq'il avoit	il deguerpi toutes ses coses terrienes (N)	1
doctrine	proiere (N)	1
grant	haute (G1 N)	1
loing	pres (N)	1
evesqe	hom (N)	1
Pluisors	Et plusor (M1 N)	1
servir	ensivir (N)	1
avoient	avoient mis (G1 M1 N)	1
Anatolius	Natholius (M1 N)	1
estoit apelez	avoit non (N)	1
pleinement	du tout (G1 M1 N)	1
Li jovenceaus	Clarus li prestres (M1 N)	1
demora	si demora (M1 N)	1
la	ilec (G1 M1 N)	1
par ce il	par ce qu'il (C2 C3 G1 M1 N)	1
de bone loy et de seinte vie	de boine creance et de sainte vie (N)	1
seinz hom	prodons (M1 N)	1
ne pot onques estre menez a ce	ne peüt onques a ce estre menés (M1 N)	1
icez	itex (M1 N)	1
et tramise	et deschendue (M1 N)	1
entendre	atendre (N)	1
la celle	li lieus (M1 N)	1
meintes	plusieurs (G1 M1 N)	1
c'on i veoit	qui venues i estoient (N)	1
murmures	pluisours murmurs (N)	1
voiz	coses (N)	1
s'abitation	sen habitacle (M1 N)	1
acorut	corut (N)	1
molt blanche	de grant dolçor (N)	1
savoir ne	ne savoit (N)	1
si c'on	si com (C2 M1 N)	1
demoustrast	moustrast (N)	1
tresc'a	jusqu'a (N)	1
ne qe dent	toutes heures (M1 N)	1
Clarus	frere Clarus (N)	1
tout premiers	tout li premiers (N)	1
amenerent	menerent (G1 N)	1
n'osoit	n'osoit mie (G1 M1 N)	1
mostrer devant lui	devant lui moustrer (M1 N)	1
q'il ne se pooit envers lui
                covrir por pooir qu'il eüst	qe encontre lui ne se pooit il couvrir de nule cose (M1 N)	1
recomencierent	conmencierent (G1 M1 N)	1
li pluisor	li pluisour des freres (N)	1
entremis	meslez (G1 M1 N)	1
venuz	avenus (M1 N)	1
ce	celui (N)	1
leva	se leva (N)	1
ot	l'ot (C3 N)	1
croire	acroire (N)	1
par lor folies	par le païs (M1 N)	1
dist	lor dist (M1 N)	1
conme	si conme (M1 N)	1
de	hors de (G1 M1 N)	1
tempoire	tans (N)	1
avint	vint (N)	1
chaucemente	chevalceüre (N)	1
il	i (C3 N)	1
premiers	premereins (C2 C3 M1 N)	1
mie	mie encore (N)	1
et corone	et coronne d'or (M1 N)	1
cez	toutes les (G1 M1 N)	1
toz	trestout (N)	1
oï je	oï jou bien (N)	1
Por	Et por (G1 M1 N)	1
meintes	pluseurs (G1 M1 N)	1
il estoit	c'estoit (G1 M1 N)	1
vertus	grans vertus (M1 N)	1
raconterai	conterai (G1 N)	1
a	avec lui a (N)	1
son seint mengier	se table (M1 N)	1
ja (#C3)	ije (C1 C2 G1 M1 N)	1
chose	çou (G1 M1 N)	1
les vices	le vie (N)	1
siecle	monde (G1 M1 N)	1
aparellierent	assisent (N)	1
en un secré leu	un serjant loing (N)	1
firent il	si firent (M1 N)	1
de fuere	d'estrain (M1 N)	1
lumiere	fumiere (N)	1
apris n'acostumé	a us n'a coustume (M1 N)	1
por	Et pour (G1 M1 N)	1
tele molece	tel moleche et si soef (M1 N)	1
le fuerre	l'estrain (M1 N)	1
deseur	seur (M1 N)	1
esprist el fuerre	prist en l'estrain (G1 M1 N)	1
l'agaitoit et destraignoit	le gaitoit et destraignoit  (M1 N)	1
qi estoit clos et serrez	dont li huis estoit fermés et clos (N)	1
fu reporpensés	se fu porpenssez (G1 N)	1
en fuieforce q'il peüstpoist feire	qu'il le peüst faire (N)	1
signum crucis	le signe de le sainte crois (M1 N)	1
se coucha	s'estendi (N)	1
envers nostre Signor Jesu Crist	a Dieu (N)	1
Tantost	Et maintenant (M1 N)	1
grever	grevanche (M1 N)	1
defors	dehors (G1 M1 N)	1
le feu	les flammes (N)	1
et si	et il (N)	1
Dex	nostre Sire (G1 M1 N)	1
en plorant	tout en plourant (M1 N)	1
orissons	vraies orisons (N)	1
fin	parfin (C2 C3 G1 N)	1
roses	rousees (C2 C3 N)	1
descendissent	descendiscendicent (N)	1
qui c'onqes	que qui onques (G1 M1 N)	1
temptés	tentés en tel maniere (N)	1
en	et en (N)	1
oïr	savoir (N)	1
defina	fina (G1 N)	1
deci	des ichi (N)	1
grant piece le tens	grant piece devant (G1 N)	1
lonc tens	longuement (G1 M1 N)	1
feire la pes	faire pais (M1 N)	1
neqe dent	toutes voies (G1 M1 N)	1
l'assomement	assomemens (M1 N)	1
ainz	ainçois (G1 M1 N)	1
la	sa (N)	1
aloient	s'en aloient (G1 M1 N)	1
dejoste	selonc (M1 N)	1
vit	vinrent (N)	1
sivoient. et chaçoient	sovent ençaçoient (N)	1
poez	poés vos (M1 N)	1
qi	li diales (M1 N)	1
guetent	agaite adés (M1 N)	1
noient. ne sont	ne sont mie (N)	1
ne	et qui (M1 N)	1
prendent	preïscent (N)	1
deguerpesissent	guerpesiscent (N)	1
desertesdiverses regions	desers la (N)	1
repoez	poez (G1 M1 N)	1
oïr	veoir (N)	1
par	partout (M1 N)	1
autel	autretel (M1 N)	1
ensamble	en une torbe (M1 N)	1
qi ce virent	qui courrirent (N)	1
seint Martin	lui (M1 N)	1
oiseaus	les oisiaus (M1 N)	1
Aprés	Après ce (C3 G1 M1 N)	1
el	au (G1 M1 N)	1
meintenant	tantost (G1 M1 N)	1
grant duel a demener	demenerent grant duel (N)	1
et se	si se (M1 N)	1
mie	mie a toi (M1 N)	1
tens	jors (M1 N)	1
ceus	de ciaus (M1 N)	1
voloit	se vouloit (M1 N)	1
desevrez	descheüs (N)	1
del	de tel (N)	1
delde tel travail sosfrir n'estoit mie
                veincuz	de tel travail n'estoit mie vencus pour travail souffrir (N)	1
aussint	doltans (M1 N)	1
doutoit	redoutoit (M1 N)	1
aemplir	acomplir (G1 N)	1
orisons	jenous (N)	1
s'en	se sour (N)	1
Et	Quant (N)	1
un pou de vil fuerre desoz lui metre	dessous lui metre un peu de vil estrain (M1 N)	1
s'alaschoit	lasquoit (N)	1
torner	retorner (M1 N)	1
fil	frere (G1 M1 N)	1
einçois esgarder le ciel	regarder le ciel ains (N)	1
s'en ira	en ira (N)	1
dejoste soi	entour lui (N)	1
aperceü	percheü (M1 N)	1
cruel	crueuse (G1 M1 N)	1
hastivement	sans demoranche (M1 N)	1
lumiere	lumiere terrienne (M1 N)	1
mostroit	le moustroit (N)	1
qi	qui li (N)	1
venir	avenir (G1 N)	1
estoient venuz et assamblez	y estoient assemblé (G1 M1 N)	1
oïrent	aouroient (N)	1
les voiz del ciel	le vois del ciel et les angeles (M1 N)	1
ceste vie	cest siecle (N)	1
premiers	premierement (N)	1
maladir	mauder (N)	1
la chosedevant vous est devant retraiteconté	jou vous ai conté devant (N)	1
ces	tiex (G1 M1 N)	1
monde	siecle (N)	1
cez choses qi sont petites	ces autres coses ester qi sunt petites (N)	1
certeine	certe (C3 N)	1
dementieres q'il	tan com il (M1 N)	1
qe ce	puis (M1 N)	1
dementieres	en dementiers (N)	1
est gardee	esgarde que (N)	1
sachiez qe	l'auque (N)	1
veve	vuidie (N)	1
l'eure de mienuit vint	la nuit fu venue (G1 M1 N)	1
d'environ	environ (N)	1
aval	contreval (G1 M1 N)	1
a grant joie	a grant ijoie et a grant leeche (M1 N)	1
a grant joie	a grant ijoie et a grant leeche (M1 N)	1
tres aprés	dusc'a prés (N)	1
Gracien	Gacien (C2 C3 N)	1
devoient	veoient (N)	1
l'oceïssent	les occesiscent (N)	1
de paine et de doleur	de dolours et de paines (N)	1
de ceste vie	de ceste mortel vie (N)	1
nombre	conte (M1 N)	1
trestot	tot (C3 M1 N)	1
assegure	en asseüre (N)	1
Tout ausi	tot si (N)	1
Sevrins	Severius (C3 M1 N)	1
El	De (N)	1
qi molt bien l'a fete	en romans bien faite (N)	1
leüe	seüe (N)	1
seint Martin	a saint Martin (M1 N)	1
li seinz hom	sains Martins (N)	1
le cuer de l'eglyse	le moustier (N)	1
droit	tout droit (M1 N)	1
chanterchantanteschantans en l'air	en l'air cantant (M1 N)	1
grant joie et de grant esleecement	de joie et de leece grant (N)	1
oïr	entendre (N)	1
qi chantoient	qu'il cantoient (M1 N)	1
releverent de terre	releverent andoi de terre  (M1 N)	1
la	les (G1 M1 N)	1
la	lor (N)	1
vie	mortel vie (N)	1
si tres granz	granz (G1 M1 N)	1
cil qi	si com il (N)	1
disoit	lisoit (G1 M1 N)	1
acliné	enclin (N)	1
la leçon	espitre (M1 N)	1
demorance	demoree (N)	1
et 	car (M1 N)	1
einsi	çaiens (N)	1
demostré	moustré (G1 N)	1
Et	et que (M1 N)	1
cil tuit	tout cil (N)	1
noterent	volrent savoir (N)	1
beneürez	de boines oevres (N)	1
trespassement	trespasse (G1 N)	1
la mere nostre Signor Jesu Crist	la haute Dame me Dame sainte Marie (M1 N)	1
de tote chose est sires et crieres	Sires est de toute creature (G1 M1 N)	1

